"キーID","ID","種別","状態","カテゴリー名","件名","詳細","担当者","開始日","期限日","更新日","発生フェーズ","顧客共有"
"1001","DEMO-001","作業","完了","データ移行","顧客データ移行手順の確認","現在の設計では対応難。代替案を検討中。","","3/25/2026","4/14/2026","4/22/2026","運用",""
"1002","DEMO-002","リスク","未対応","性能","パスワードリセットのフロー改善","","伊藤 健一","3/28/2026","4/8/2026","4/19/2026","運用","要"
"1003","DEMO-003","課題","処理済み","性能","ドキュメントの翻訳","詳細調査中。再現手順を固めてから改修に入る予定。","小林 真理","3/30/2026","4/13/2026","4/21/2026","テスト","要"
"1004","DEMO-004","リスク","未対応","ドキュメント","ログイン画面のレスポンス遅延","別部署からの連絡待ち。今週金曜までに回答を得たい。","佐藤 花子","3/28/2026","4/9/2026","4/14/2026","テスト","要"
"1005","DEMO-005","リスク","処理済み","互換性","帳票出力フォーマットの見直し","顧客から改善要望あり。次スプリントで対応方針を決定。","田中 太郎","4/16/2026","5/1/2026","4/13/2026","","要"
"1006","DEMO-006","作業","処理済み","セキュリティ","既存機能のリファクタリング","","鈴木次郎","3/23/2026","","4/17/2026","実装","要"
"1007","DEMO-007","質問","未対応","互換性","オンプレ → クラウド移行計画","詳細調査中。再現手順を固めてから改修に入る予定。","小林 真理","3/22/2026","4/3/2026","4/20/2026","","要"
"1008","DEMO-008","作業","未対応","データ移行","本番 DB 接続タイムアウト調査","別部署からの連絡待ち。今週金曜までに回答を得たい。","田中　太郎","4/18/2026","4/30/2026","4/20/2026","要件定義","不"
"1009","DEMO-009","質問","未対応","データ移行","既存機能のリファクタリング","現在の設計では対応難。代替案を検討中。","鈴木次郎","3/25/2026","4/3/2026","4/20/2026","テスト","要"
"1010","DEMO-010","質問","完了","ドキュメント","監視アラート閾値の調整","詳細調査中。再現手順を固めてから改修に入る予定。","","4/3/2026","","4/11/2026","実装","不"
"1011","DEMO-011","課題","処理中","UI/UX","監視アラート閾値の調整","別部署からの連絡待ち。今週金曜までに回答を得たい。","田中太郎","4/6/2026","4/16/2026","4/10/2026","運用",""
"1012","DEMO-012","作業","処理済み","データ移行","管理画面の権限バグ","現在の設計では対応難。代替案を検討中。","田中太郎","3/31/2026","4/15/2026","4/19/2026","運用","要"
"1013","DEMO-013","リスク","未対応","インフラ","API 仕様書の更新漏れ","現在の設計では対応難。代替案を検討中。","田中太郎","4/12/2026","5/4/2026","4/20/2026","","要"
"1014","DEMO-014","作業","処理済み","性能","監視アラート閾値の調整","","佐藤 花子","4/9/2026","4/12/2026","4/12/2026","リリース","要"
