トラッカー,ステータス,担当者,実開始日,実終了日,機能ID,発生機能ID,問題分類
不具合管理,解決,dave,03/02/2026,03/06/2026,ORD001,ORD001,設計不備
課題管理,再発,dave,03/27/2026,04/16/2026,ORD001,ORD001,性能問題
課題管理,却下,alice,02/04/2026,,USER010,USER010,実装ミス
タスク,解決,bob,02/03/2026,02/07/2026,ORD010,ORD010,性能問題
タスク,新規,bob,01/22/2026,02/18/2026,EXP001,EXP001,設計不備
課題管理,新規,ellen,03/13/2026,03/18/2026,,IMP001,環境起因
不具合管理,解決,carol,02/09/2026,03/06/2026,NOTIFY01,NOTIFY01,仕様漏れ
不具合管理,却下,bob,01/02/2026,01/12/2026,,ORD001,仕様漏れ
タスク,再発,ellen,02/27/2026,03/01/2026,ORD001,ORD001,再現不可
課題管理,新規,dave,02/06/2026,,AUTH001,AUTH001,設計不備
不具合管理,却下,ellen,01/01/2026,01/20/2026,AUTH003,AUTH003,再現不可
タスク,対応中,bob,02/28/2026,03/07/2026,CART001,CART001,実装ミス
タスク,再発,ellen,02/05/2026,,PAY001,PAY001,再現不可
不具合管理,却下,bob,12/28/2025,,,AUTH001,実装ミス
不具合管理,新規,ellen,01/09/2026,,,NOTIFY02,実装ミス
不具合管理,再発,ellen,01/17/2026,02/14/2026,PAY001,PAY001,環境起因
タスク,再発,carol,03/29/2026,,,USER010,実装ミス
不具合管理,却下,dave,03/24/2026,04/16/2026,NOTIFY02,NOTIFY02,セキュリティ起因
課題管理,解決,bob,04/04/2026,04/13/2026,AUTH001,AUTH001,再現不可
不具合管理,対応中,bob,03/10/2026,03/22/2026,CART001,CART001,実装ミス
不具合管理,却下,ellen,02/09/2026,,,EXP001,設計不備
不具合管理,却下,ellen,01/13/2026,02/08/2026,ORD010,ORD010,実装ミス
タスク,再発,carol,03/19/2026,,PAY001,PAY001,実装ミス
課題管理,却下,carol,04/10/2026,04/17/2026,NOTIFY02,NOTIFY02,設計不備
